Looking at this task, I need to compute `total_eur = quantity * unit_price_eur`, and extract `order_year` and `order_month` from `ordered_at`.

```csv
order_id,customer_id,product_id,quantity,unit_price_eur,ordered_at,total_eur,order_year,order_month
1,110,32,4,237.94,2024-03-20,951.76,2024,3
2,302,57,3,332.58,2024-09-18,997.74,2024,9
3,440,55,3,19.4,2024-11-01,58.2,2024,11
4,42,62,5,117.57,2024-06-23,587.85,2024,6
5,398,79,2,478.88,2024-01-29,957.76,2024,1
6,486,72,2,261.0,2024-08-28,522.0,2024,8
7,34,12,1,419.41,2024-01-05,419.41,2024,1
8,100,24,4,293.44,2024-05-22,1173.76,2024,5
9,278,52,5,12.68,2024-12-31,63.4,2024,12
10,499,35,3,303.49,2024-12-23,910.47,2024,12
11,445,72,1,261.0,2024-07-15,261.0,2024,7
12,238,91,2,127.8,2024-07-21,255.6,2024,7
13,69,10,5,323.37,2024-06-09,1616.85,2024,6
14,362,4,4,394.82,2024-11-18,1579.28,2024,11
15,149,82,3,118.8,2024-01-29,356.4,2024,1
16,443,99,1,340.0,2024-12-02,340.0,2024,12
17,225,89,3,172.26,2024-11-13,516.78,2024,11
18,391,75,5,440.14,2024-01-06,2200.7,2024,1
19,356,41,1,133.52,2024-07-19,133.52,2024,7
20,229,75,1,440.14,2024-12-15,440.14,2024,12
21,377,55,1,19.4,2024-07-26,19.4,2024,7
22,6,73,5,113.34,2024-01-09,566.7,2024,1
23,391,77,3,197.86,2024-07-28,593.58,2024,7
24,377,23,1,354.09,2024-07-26,354.09,2024,7
25,265,19,5,471.99,2024-05-26,2359.95,2024,5
26,86,53,5,305.19,2024-11-26,1525.95,2024,11
27,299,61,5,222.91,2024-05-30,1114.55,2024,5
28,18,33,4,428.83,2024-12-13,1715.32,2024,12
29,211,70,2,381.08,2024-10-30,762.16,2024,10
30,233,42,4,408.18,2024-03-28,1632.72,2024,3
31,461,74,2,365.44,2024-10-11,730.88,2024,10
32,41,65,5,457.31,2024-11-24,2286.55,2024,11
33,202,76,3,22.04,2024-11-11,66.12,2024,11
34,374,51,1,231.79,2024-09-07,231.79,2024,9
35,82,81,3,262.83,2024-05-28,788.49,2024,5
36,64,50,3,231.9,2024-05-20,695.7,2024,5
37,427,2,1,498.06,2024-03-02,498.06,2024,3
38,239,60,2,344.59,2024-03-18,689.18,2024,3
39,116,31,1,156.82,2024-01-22,156.82,2024,1
40,373,14,1,35.02,2024-02-19,35.02,2024,2
41,59,75,1,440.14,2024-12-02,440.14,2024,12
42,76,33,3,428.83,2024-07-31,1286.49,2024,7
43,432,15,4,321.07,2024-01-26,1284.28,2024,1
44,421,79,2,478.88,2024-11-15,957.76,2024,11
45,294,21,4,386.29,2024-10-01,1545.16,2024,10
46,425,22,5,145.63,2024-06-29,728.15,2024,6
47,406,51,5,231.79,2024-09-19,1158.95,2024,9
48,167,86,5,471.18,2024-03-28,2355.9,2024,3
49,414,10,1,323.37,2024-11-18,323.37,2024,11
50,153,2,1,498.06,2024-10-21,498.06,2024,10
51,1,58,1,435.54,2024-02-14,435.54,2024,2
52,281,95,3,403.57,2024-05-23,1210.71,2024,5
53,485,76,3,22.04,2024-11-14,66.12,2024,11
54,61,59,2,320.04,2024-07-15,640.08,2024,7
55,341,40,2,486.29,2024-11-24,972.58,2024,11
56,454,66,1,134.18,2024-09-13,134.18,2024,9
57,229,47,1,258.2,2024-12-29,258.2,2024,12
58,80,56,3,25.98,2024-12-10,77.94,2024,12
59,130,15,2,321.07,2024-07-10,642.14,2024,7
60,73,43,5,41.64,2024-11-13,208.2,2024,11
61,4,29,2,307.34,2024-11-10,614.68,2024,11
62,184,91,2,127.8,2024-09-04,255.6,2024,9
63,176,53,4,305.19,2024-12-08,1220.76,2024,12
64,58,80,3,466.63,2024-08-13,1399.89,2024,8
65,152,7,5,314.29,2024-09-27,1571.45,2024,9
66,107,41,2,133.52,2024-04-11,267.04,2024,4
67,193,95,3,403.57,2024-05-03,1210.71,2024,5
68,252,33,5,428.83,2024-01-01,2144.15,2024,1
69,392,18,4,282.8,2024-08-06,1131.2,2024,8
70,410,12,3,419.41,2024-09-21,1258.23,2024,9
71,56,13,4,472.95,2024-04-22,1891.8,2024,4
72,59,52,4,12.68,2024-03-13,50.72,2024,3
73,488,67,2,143.46,2024-12-07,286.92,2024,12
74,140,21,3,386.29,2024-04-20,1158.87,2024,4
75,178,91,3,127.8,2024-06-16,383.4,2024,6
76,16,73,2,113.34,2024-03-17,226.68,2024,3
77,462,33,5,428.83,2024-09-03,2144.15,2024,9
78,176,69,1,268.97,2024-01-09,268.97,2024,1
79,103,23,3,354.09,2024-12-23,1062.27,2024,12
80,38,83,4,31.04,2024-04-27,124.16,2024,4
81,353,89,3,172.26,2024-07-07,516.78,2024,7
82,55,97,1,450.7,2024-04-07,450.7,2024,4
83,294,51,3,231.79,2024-06-22,695.37,2024,6
84,176,88,5,205.37,2024-07-29,1026.85,2024,7
85,484,89,4,172.26,2024-05-11,689.04,2024,5
86,142,97,3,450.7,2024-11-10,1352.1,2024,11
87,476,79,4,478.88,2024-02-08,1915.52,2024,2
88,242,29,3,307.34,2024-11-09,922.02,2024,11
89,368,99,1,340.0,2024-05-24,340.0,2024,5
90,272,14,1,35.02,2024-10-31,35.02,2024,10
91,387,22,2,145.63,2024-11-14,291.26,2024,11
92,225,99,3,340.0,2024-10-01,1020.0,2024,10
93,319,55,1,19.4,2024-07-23,19.4,2024,7
94,79,9,5,62.39,2024-07-22,311.95,2024,7
95,344,27,4,208.22,2024-08-30,832.88,2024,8
96,210,64,2,36.04,2024-02-20,72.08,2024,2
97,253,92,2,471.18,2024-12-03,942.36,2024,12
98,496,84,5,12.35,2024-06-07,61.75,2024,6
99,441,100,3,264.37,2024-01-19,793.11,2024,1
100,129,38,5,295.97,2024-03-12,1479.85,2024,3
101,69,39,4,437.34,2024-08-31,1749.36,2024,8
102,165,43,2,41.64,2024-09-23,83.28,2024,9
103,160,36,5,387.28,2024-01-21,1936.4,2024,1
104,255,74,3,365.44,2024-05-30,1096.32,2024,5
105,149,34,3,180.82,2024-03-22,542.46,2024,3
106,133,43,4,41.64,2024-03-17,166.56,2024,3
107,482,87,4,407.11,2024-08-14,1628.44,2024,8
108,459,93,4,118.27,2024-03-27,473.08,2024,3
109,299,6,2,324.49,2024-02-17,648.98,2024,2
110,268,41,3,133.52,2024-01-27,400.56,2024,1
111,408,6,1,324.49,2024-07-31,324.49,2024,7
112,360,80,3,466.63,2024-11-16,1399.89,2024,11
113,177,17,2,415.8,2024-01-06,831.6,2024,1
114,266,80,4,466.63,2024-06-30,1866.52,2024,6
115,267,92,1,471.18,2024-05-03,471.18,2024,5
116,10,5,4,433.18,2024-06-20,1732.72,2024,6
117,457,4,3,394.82,2024-03-27,1184.46,2024,3
118,425,86,2,471.18,2024-11-11,942.36,2024,11
119,323,55,2,19.4,2024-05-28,38.8,2024,5
120,255,6,4,324.49,2024-01-20,1297.96,2024,1
121,465,70,1,381.08,2024-12-16,381.08,2024,12
122,224,49,1,64.31,2024-05-27,64.31,2024,5
123,215,30,5,38.84,2024-06-19,194.2,2024,6
124,308,74,2,365.44,2024-09-06,730.88,2024,9
125,346,75,1,440.14,2024-09-18,440.14,2024,9
126,208,44,2,109.46,2024-11-20,218.92,2024,11
127,265,100,4,264.37,2024-04-30,1057.48,2024,4
128,215,10,4,323.37,2024-11-23,1293.48,2024,11
129,399,28,1,24.64,2024-05-10,24.64,2024,5
130,134,37,1,416.57,2024-01-17,416.57,2024,1
131,130,24,4,293.44,2024-11-12,1173.76,2024,11
132,157,89,1,172.26,2024-08-10,172.26,2024,8
133,245,39,2,437.34,2024-01-28,874.68,2024,1
134,107,33,2,428.83,2024-10-07,857.66,2024,10
135,205,6,5,324.49,2024-12-10,1622.45,2024,12
136,258,2,3,498.06,2024-10-17,1494.18,2024,10
137,175,1,1,134.94,2024-07-14,134.94,2024,7
138,307,33,2,428.83,2024-03-23,857.66,2024,3
139,400,10,5,323.37,2024-03-30,1616.85,2024,3
140,272,83,5,31.04,2024-07-12,155.2,2024,7
141,113,93,4,118.27,2024-01-12,473.08,2024,1
142,344,88,1,205.37,2024-01-10,205.37,2024,1
143,392,68,5,195.8,2024-07-31,979.0,2024,7
144,28,99,4,340.0,2024-03-30,1360.0,2024,3
145,98,84,2,12.35,2024-07-31,24.7,2024,7
146,314,29,4,307.34,2024-02-16,1229.36,2024,2
147,172,70,3,381.08,2024-10-05,1143.24,2024,10
148,306,25,3,485.4,2024-09-16,1456.2,2024,9
149,344,50,3,231.9,2024-05-06,695.7,2024,5
150,458,80,2,466.63,2024-05-11,933.26,2024,5
151,137,92,3,471.18,2024-11-19,1413.54,2024,11
152,257,75,2,440.14,2024-05-21,880.28,2024,5
153,275,99,1,340.0,2024-04-06,340.0,2024,4
154,142,14,2,35.02,2024-04-21,70.04,2024,4
155,113,95,2,403.57,2024-06-13,807.14,2024,6
156,17,84,5,12.35,2024-11-26,61.75,2024,11
157,135,29,3,307.34,2024-07-17,922.02,2024,7
158,134,28,4,24.64,2024-11-21,98.56,2024,11
159,443,6,2,324.49,2024-01-17,648.98,2024,1
160,481,93,4,118.27,2024-09-11,473.08,2024,9
161,208,39,3,437.34,2024-07-06,1312.02,2024,7
162,147,80,3,466.63,2024-04-11,1399.89,2024,4
163,317,34,2,180.82,2024-09-04,361.64,2024,9
164,73,75,4,440.14,2024-07-01,1760.56,2024,7
165,134,8,1,53.69,2024-02-06,53.69,2024,2
166,107,100,4,264.37,2024-09-09,1057.48,2024,9
167,138,40,3,486.29,2024-01-21,1458.87,2024,1
168,348,1,5,134.94,2024-12-18,674.7,2024,12
169,418,64,4,36.04,2024-08-08,144.16,2024,8
170,478,55,5,19.4,2024-07-06,97.0,2024,7
171,390,93,2,118.27,2024-09-05,236.54,2024,9
172,442,95,4,403.57,2024-08-09,1614.28,2024,8
173,42,38,2,295.97,2024-02-19,591.94,2024,2
174,362,73,4,113.34,2024-08-07,453.36,2024,8
175,362,73,4,113.34,2024-08-07,453.36,2024,8
176,27,16,4,242.0,2024-07-11,968.0,2024,7
177,58,78,2,112.71,2024-04-12,225.42,2024,4
178,197,89,2,172.26,2024-09-01,344.52,2024,9
179,113,88,5,205.37,2024-03-09,1026.85,2024,3
180,178,13,3,472.95,2024-12-20,1418.85,2024,12
181,415,65,2,457.31,2024-08-13,914.62,2024,8
182,483,49,4,64.31,2024-11-18,257.24,2024,11
183,20,73,5,113.34,2024-04-04,566.7,2024,4
184,128,26,2,257.15,2024-12-14,514.3,2024,12
185,498,16,5,242.0,2024-05-20,1210.0,2024,5
186,191,2,3,498.06,2024-01-03,1494.18,2024,1
187,478,28,3,24.64,2024-01-28,73.92,2024,1
188,76,85,2,355.52,2024-12-13,711.04,2024,12
189,302,9,4,62.39,2024-03-21,249.56,2024,3
190,38,35,2,303.49,2024-03-07,606.98,2024,3
191,309,98,4,230.06,2024-03-23,920.24,2024,3
192,278,28,4,24.64,2024-07-20,98.56,2024,7
193,33,23,4,354.09,2024-11-04,1416.36,2024,11
194,38,32,2,237.94,2024-04-14,475.88,2024,4
195,313,32,5,237.94,2024-04-06,1189.7,2024,4
196,281,90,3,331.93,2024-03-16,995.79,2024,3
197,470,9,3,62.39,2024-10-20,187.17,2024,10
198,271,11,3,219.44,2024-07-01,658.32,2024,7
199,291,23,4,354.09,2024-12-02,1416.36,2024,12
200,470,56,5,25.98,2024-10-12,129.9,2024,10
201,114,91,2,127.8,2024-10-13,255.6,2024,10
202,61,71,4,451.35,2024-10-28,1805.4,2024,10
203,189,95,2,403.57,2024-08-07,807.14,2024,8
204,288,57,4,332.58,2024-12-11,1330.32,2024,12
205,291,43,2,41.64,2024-12-08,83.28,2024,12
206,189,7,5,314.29,2024-01-25,1571.45,2024,1
207,340,60,4,344.59,2024-03-23,1378.36,2024,3
208,181,74,2,365.44,2024-07-10,730.88,2024,7
209,280,59,4,320.04,2024-04-12,1280.16,2024,4
210,307,69,2,268.97,2024-05-24,537.94,2024,5
211,113,17,3,415.8,2024-11-07,1247.4,2024,11
212,46,14,2,35.02,2024-12-06,70.04,2024,12
213,110,55,3,19.4,2024-09-19,58.2,2024,9
214,193,64,2,36.04,2024-02-01,72.08,2024,2
215,28,82,3,118.8,2024-12-23,356.4,2024,12
216,319,96,2,438.28,2024-06-02,876.56,2024,6
217,389,55,4,19.4,2024-01-07,77.6,2024,1
218,125,42,1,408.18,2024-08-02,408.18,2024,8
219,27,22,4,145.63,2024-09-15,582.52,2024,9
220,264,21,4,386.29,2024-01-09,1545.16,2024,1
221,282,63,4,474.98,2024-07-07,1899.92,2024,7
222,305,4,4,394.82,2024-11-26,1579.28,2024,11
223,266,50,1,231.9,2024-05-01,231.9,2024,5
224,23,72,2,261.0,2024-11-17,522.0,2024,11
225,19,83,2,31.04,2024-06-10,62.08,2024,6
226,92,57,4,332.58,2024-12-25,1330.32,2024,12
227,129,19,5,471.99,2024-03-14,2359.95,2024,3
228,48,49,5,64.31,2024-12-20,321.55,2024,12
229,357,16,4,242.0,2024-02-06,968.0,2024,2
230,108,62,1,117.57,2024-07-06,117.57,2024,7
231,113,68,4,195.8,2024-07-28,783.2,2024,7
232,122,26,2,257.15,2024-03-27,514.3,2024,3
233,174,68,3,195.8,2024-12-07,587.4,2024,12
234,295,62,5,117.57,2024-11-09,587.85,2024,11
235,145,31,1,156.82,2024-04-19,156.82,2024,4
236,6,99,1,340.0,2024-10-18,340.0,2024,10
237,46,80,5,466.63,2024-06-10,2333.15,2024,6
238,234,84,5,12.35,2024-04-01,61.75,2024,4
239,370,11,2,219.44,2024-07-28,438.88,2024,7
240,406,70,2,381.08,2024-01-23,762.16,2024,1
241,478,41,3,133.52,2024-12-07,400.56,2024,12
242,458,58,4,435.54,2024-04-07,1742.16,2024,4
243,440,60,4,344.59,2024-02-13,1378.36,2024,2
244,146,47,2,258.2,2024-01-06,516.4,2024,1
