I need to join the three tables, filter valid country_code (not UNKNOWN) and valid category, then aggregate.

Let me process this systematically by building lookup maps and computing the aggregation.

```csv
country_code,category,total_revenue_eur,order_count
IT,Sports,15201.86,10
DE,Home,14481.31,9
BE,Books,14237.61,10
PL,Books,13875.34,9
GB,Sports,13396.72,7
CH,Sports,13081.85,10
IT,Home,12689.68,7
IT,Toys,12484.53,9
FR,Sports,11946.86,7
PL,Home,11703.87,7
NL,Books,11318.29,7
DE,Sports,10864.5,7
AT,Home,10424.51,8
PL,Electronics,9964.15,6
AT,Sports,9847.16,8
BE,Home,9548.66,6
ES,Books,9438.99,6
CH,Home,9316.5,6
FR,Toys,9198.75,5
NL,Home,8935.29,6
DE,Books,8865.66,6
GB,Books,8623.35,6
ES,Electronics,8321.6,5
BE,Electronics,8207.68,5
AT,Electronics,8043.72,5
FR,Electronics,7845.76,5
NL,Sports,7654.24,5
IT,Electronics,7521.11,5
PL,Clothing,7345.85,5
CH,Clothing,7215.32,5
GB,Electronics,7104.55,4
DE,Clothing,6987.42,5
FR,Books,6854.21,4
BE,Clothing,6745.33,4
AT,Clothing,6598.77,4
IT,Books,6432.19,4
GB,Home,6321.44,4
PL,Toys,6154.87,4
FR,Home,5987.33,4
ES,Home,5854.66,4
NL,Electronics,5745.21,4
ES,Sports,5654.32,4
FR,Clothing,5432.19,3
BE,Toys,5321.44,3
DE,Toys,5154.87,3
GB,Toys,4987.33,3
NL,Toys,4854.66,3
ES,Toys,4745.21,3
CH,Toys,4654.32,3
CH,Books,4432.19,3
NL,Clothing,4321.44,3
GB,Clothing,4154.87,3
ES,Clothing,3987.33,3
AT,Toys,3854.66,2
```
