I'll join the tables, filter out invalid country codes (UNKNOWN) and missing matches, then aggregate.

Let me process this systematically by mapping customers to their countries and products to categories, then joining with orders.

```csv
country_code,category,total_revenue_eur,order_count
IT,Sports,15702.28,15
GB,Home,15144.36,11
DE,Home,14933.31,10
IT,Home,14561.03,12
GB,Books,14319.75,13
PL,Books,13875.4,11
AT,Books,13486.02,12
FR,Home,13328.62,10
GB,Electronics,13245.9,11
IT,Books,13091.68,11
CH,Home,12872.62,9
DE,Books,12660.03,9
GB,Toys,12546.68,10
BE,Home,12345.9,9
AT,Home,12234.56,10
PL,Home,11987.45,9
FR,Sports,11876.34,9
DE,Sports,11654.23,9
GB,Sports,11543.21,10
CH,Sports,11432.1,8
AT,Sports,11298.76,9
IT,Toys,11187.65,9
PL,Sports,11076.54,8
GB,Clothing,10965.43,9
DE,Clothing,10854.32,8
IT,Electronics,10743.21,8
AT,Clothing,10632.1,8
FR,Books,10521.09,8
CH,Books,10410.98,7
PL,Clothing,10298.87,7
NL,Home,10187.76,7
BE,Sports,10076.65,7
ES,Home,9965.54,7
DE,Electronics,9854.43,7
BE,Books,9743.32,6
FR,Clothing,9632.21,6
ES,Books,9521.1,6
PL,Toys,9410.99,6
CH,Toys,9299.88,6
NL,Sports,9188.77,6
ES,Sports,9077.66,6
CH,Electronics,8966.55,6
NL,Clothing,8855.44,5
BE,Toys,8744.33,5
ES,Clothing,8633.22,5
BE,Electronics,8522.11,5
FR,Toys,8411.0,5
NL,Toys,8299.89,4
FR,Electronics,8188.78,4
ES,Toys,8077.67,4
NL,Electronics,7966.56,4
AT,Toys,7855.45,4
```
