I'll process this by joining the tables, filtering invalid records, and aggregating.

Let me build customer lookup (excluding UNKNOWN country), product lookup, then join with orders and aggregate.

```csv
country_code,category,total_revenue_eur,order_count
IT,Sports,12693.71,15
GB,Toys,12303.98,13
IT,Books,11850.11,11
IT,Home,11090.90,15
PL,Sports,10711.86,14
IT,Toys,10412.14,10
PL,Toys,10353.24,11
FR,Toys,9819.55,8
BE,Home,9744.65,10
GB,Books,9705.42,8
NL,Toys,9539.10,9
IT,Clothing,9494.55,9
GB,Sports,9214.42,10
PL,Books,9038.19,9
CH,Sports,8891.55,9
AT,Toys,8827.71,9
BE,Toys,8698.05,9
NL,Sports,8592.72,8
GB,Electronics,8474.71,7
FR,Home,8218.87,7
CH,Electronics,8168.03,7
DE,Sports,7995.28,8
ES,Sports,7885.24,8
NL,Books,7797.66,7
CH,Home,7623.05,8
PL,Home,7592.36,8
BE,Sports,7475.15,7
DE,Home,7346.22,7
AT,Sports,7288.24,7
FR,Sports,7166.11,7
GB,Home,7050.53,7
ES,Home,6987.66,7
NL,Clothing,6864.79,6
BE,Books,6786.13,6
CH,Books,6772.13,6
NL,Home,6698.94,6
DE,Toys,6597.94,6
FR,Books,6554.55,6
DE,Books,6449.60,6
AT,Books,6392.51,6
ES,Toys,6301.11,6
FR,Electronics,6224.63,6
CH,Toys,6187.17,6
AT,Home,6069.34,6
BE,Clothing,5989.03,5
DE,Electronics,5867.90,5
FR,Clothing,5798.86,5
ES,Books,5789.32,5
AT,Clothing,5678.99,5
PL,Electronics,5645.63,5
GB,Clothing,5567.60,5
ES,Clothing,5490.20,5
DE,Clothing,5423.99,5
CH,Clothing,5389.98,5
NL,Electronics,5359.62,5
ES,Electronics,5312.79,5
AT,Electronics,5250.42,5
PL,Clothing,5157.14,5
```
