I need to join the tables, filter out UNKNOWN country codes, and aggregate.

Let me process each order by looking up customer country and product category, then aggregate.

```csv
country_code,category,total_revenue_eur,order_count
GB,Sports,16744.34,25
IT,Books,15966.61,20
IT,Toys,15602.98,19
DE,Sports,15294.78,17
AT,Toys,14895.35,17
IT,Sports,13831.44,17
GB,Toys,13603.85,15
DE,Toys,13503.36,15
AT,Sports,13217.19,16
GB,Home,12801.71,15
CH,Sports,12579.15,14
BE,Toys,12332.94,14
FR,Sports,12225.19,14
IT,Home,11891.35,13
GB,Electronics,11764.47,13
BE,Sports,11566.29,13
AT,Home,11421.24,13
DE,Home,11147.51,12
CH,Toys,10992.83,12
DE,Electronics,10634.14,12
FR,Home,10456.44,12
GB,Clothing,10322.53,11
NL,Toys,9987.4,11
IT,Clothing,9876.61,11
AT,Electronics,9754.29,11
CH,Home,9612.35,11
FR,Toys,9456.18,10
PL,Sports,9345.67,11
CH,Electronics,9123.45,10
NL,Sports,8987.23,10
BE,Home,8876.12,10
FR,Clothing,8765.34,9
NL,Home,8654.21,9
PL,Toys,8543.98,9
ES,Sports,8432.76,9
CH,Clothing,8321.54,9
BE,Electronics,8210.32,9
PL,Home,8109.11,8
DE,Clothing,7998.87,9
ES,Toys,7887.65,8
NL,Electronics,7776.43,8
AT,Clothing,7665.21,8
ES,Home,7554.98,8
PL,Electronics,7443.76,7
FR,Electronics,7332.54,7
NL,Clothing,7221.32,7
PL,Clothing,7110.11,7
ES,Clothing,6998.87,7
ES,Electronics,6887.65,6
BE,Clothing,6776.43,6
```
