```csv
country_code,category,total_revenue_eur,order_count
AT,Clothing,7648.77,5
IT,Sports,7334.82,10
PL,Sports,7314.9,8
BE,Electronics,7216.59,9
ES,Sports,7106.88,8
FR,Home,6998.42,7
ES,Books,6878.09,10
BE,Sports,6853.4,8
DE,Sports,6696.02,8
CH,Sports,6460.67,6
AT,Sports,6243.88,10
FR,Clothing,6234.33,8
NL,Electronics,6179.31,8
FR,Sports,6041.52,7
PL,Books,5919.46,9
IT,Books,5877.08,8
PL,Clothing,5707.97,10
AT,Electronics,5612.38,6
DE,Clothing,5580.49,9
ES,Clothing,5547.45,7
NL,Sports,5395.21,10
IT,Clothing,5266.39,8
BE,Clothing,5068.79,7
DE,Home,5066.01,7
BE,Books,5034.9,8
IT,Electronics,4901.4,8
DE,Books,4789.7,8
GB,Sports,4767.28,6
ES,Toys,4671.95,7
NL,Home,4326.65,6
BE,Toys,4224.28,5
ES,Home,4164.57,6
GB,Clothing,4046.24,5
ES,Electronics,4010.87,8
BE,Home,3816.35,5
IT,Toys,3801.35,6
AT,Home,3699.28,5
PL,Home,3616.71,6
GB,Home,3580.9,4
GB,Books,3499.78,7
NL,Clothing,3480.95,5
CH,Clothing,3468.22,5
AT,Books,3383.05,5
CH,Electronics,3338.93,6
NL,Toys,3284.18,4
FR,Electronics,3026.06,5
AT,Toys,2687.16,4
CH,Home,2623.47,4
GB,Electronics,2335.79,4
IT,Home,2198.39,4
DE,Toys,2156.7,3
PL,Electronics,1865.04,6
FR,Toys,1543.13,3
GB,Toys,1501.99,3
DE,Electronics,1184.06,3
FR,Books,1051.82,2
CH,Books,856.24,3
CH,Toys,155.2,1
NL,Books,124.92,1
```
