```csv
country_code,category,total_revenue_eur,order_count
BE,Sports,25009.93,28
PL,Books,23640.71,22
BE,Clothing,18241.08,17
AT,Clothing,18184.39,24
FR,Clothing,18037.46,14
ES,Clothing,17765.26,18
PL,Clothing,17112.59,21
IT,Books,16752.41,21
FR,Books,16182.17,17
PL,Home,15474.34,16
ES,Toys,15234.34,22
IT,Electronics,14732.18,18
IT,Clothing,14578.89,17
DE,Home,14093.81,18
CH,Clothing,13708.20,15
GB,Books,13413.56,16
BE,Electronics,13008.71,15
DE,Books,12684.09,18
CH,Toys,12502.50,17
AT,Sports,12470.13,16
CH,Electronics,12365.17,11
GB,Clothing,12347.16,16
GB,Toys,12170.81,17
IT,Home,11822.42,16
ES,Home,11681.44,14
NL,Clothing,11654.58,13
NL,Home,11440.38,15
PL,Electronics,11306.91,12
ES,Books,10984.86,13
BE,Home,10945.57,16
CH,Home,10881.56,15
BE,Toys,10094.66,13
DE,Sports,10065.91,12
AT,Home,9339.88,13
AT,Electronics,8820.43,12
FR,Toys,8304.53,13
GB,Sports,8297.04,15
NL,Toys,8245.55,14
FR,Home,8008.41,11
AT,Books,7780.21,9
IT,Sports,7763.50,15
GB,Home,7581.33,14
GB,Electronics,7329.83,14
PL,Toys,7228.31,12
FR,Electronics,7212.72,10
CH,Sports,7106.14,12
FR,Sports,6696.08,10
AT,Toys,6197.83,11
IT,Toys,5930.93,12
ES,Sports,5794.13,10
DE,Electronics,5722.95,11
ES,Electronics,5503.22,8
PL,Sports,5127.30,8
NL,Books,4449.71,6
DE,Clothing,4293.45,10
CH,Books,3978.50,6
DE,Toys,3874.33,7
NL,Electronics,3768.32,5
BE,Books,3548.80,6
NL,Sports,3217.10,5
```
