```csv
country_code,category,total_revenue_eur,order_count
DE,Sports,24186.32,20
AT,Books,23418.75,19
ES,Home,22964.18,19
FR,Electronics,22687.41,18
IT,Clothing,22493.67,19
PL,Sports,22178.94,18
BE,Books,21835.29,18
CH,Electronics,21476.83,17
NL,Home,21192.64,17
GB,Clothing,20984.57,18
DE,Books,20762.48,17
AT,Sports,20581.36,17
ES,Electronics,20394.22,16
FR,Home,20175.68,17
IT,Books,19986.44,16
PL,Clothing,19784.31,17
BE,Sports,19562.83,16
CH,Home,19374.56,16
NL,Electronics,19186.27,16
GB,Books,18974.15,16
DE,Clothing,18765.92,16
AT,Electronics,18594.74,15
ES,Sports,18376.28,15
FR,Clothing,18194.63,15
IT,Home,17983.41,15
PL,Books,17762.95,15
BE,Electronics,17584.36,15
CH,Sports,17396.18,14
NL,Clothing,17184.73,14
GB,Home,16975.42,14
DE,Electronics,16783.65,14
AT,Clothing,16594.28,14
ES,Books,16375.94,14
FR,Sports,16186.57,13
IT,Electronics,15974.83,13
PL,Home,15763.41,13
BE,Clothing,15584.26,13
CH,Books,15396.72,13
NL,Sports,15184.39,13
GB,Electronics,14975.63,12
DE,Home,14763.85,12
AT,Home,14594.27,12
ES,Clothing,14375.61,12
FR,Books,14186.94,12
IT,Sports,13974.52,12
PL,Electronics,13763.18,12
BE,Home,13584.77,11
CH,Clothing,13396.44,11
NL,Books,13184.69,11
GB,Sports,12975.26,11
DE,Toys,11864.73,10
AT,Toys,11486.25,10
ES,Toys,11174.68,10
FR,Toys,10893.42,9
IT,Toys,10584.17,9
PL,Toys,10276.84,9
BE,Toys,9874.36,9
CH,Toys,9548.72,8
NL,Toys,9186.45,8
GB,Toys,8847.63,8
```
