```csv
country_code,category,total_revenue_eur,order_count
PL,Electronics,15742.43,18
AT,Books,15396.21,17
GB,Clothing,15184.67,18
DE,Electronics,14936.82,17
ES,Books,14788.56,17
NL,Electronics,14672.35,16
IT,Books,14541.89,16
FR,Clothing,14396.28,17
BE,Electronics,14275.64,16
CH,Books,14189.37,16
PL,Books,14088.62,16
AT,Electronics,13972.45,16
ES,Clothing,13863.71,16
GB,Books,13756.94,16
DE,Books,13648.53,16
NL,Clothing,13542.86,16
IT,Electronics,13426.79,15
FR,Books,13315.48,15
BE,Clothing,13204.17,15
CH,Electronics,13096.84,15
PL,Clothing,12984.56,15
AT,Clothing,12876.39,15
ES,Electronics,12763.95,15
GB,Electronics,12652.48,15
DE,Clothing,12543.76,15
NL,Books,12431.69,15
IT,Clothing,12318.47,14
FR,Electronics,12207.35,14
BE,Books,12094.68,14
CH,Clothing,11982.54,14
PL,Toys,11864.93,16
AT,Toys,11642.38,15
ES,Toys,11429.76,15
GB,Toys,11217.64,15
DE,Toys,11004.52,14
NL,Toys,10793.46,14
IT,Toys,10582.19,14
FR,Toys,10368.84,14
BE,Toys,10155.63,13
CH,Toys,9943.27,13
PL,Sports,9826.54,15
AT,Sports,9614.32,14
ES,Sports,9401.87,14
GB,Sports,9189.46,14
DE,Sports,8976.38,13
NL,Sports,8763.95,13
IT,Sports,8551.62,13
FR,Sports,8339.18,13
BE,Sports,8126.75,12
CH,Sports,7914.39,12
PL,Home,7483.62,14
AT,Home,7296.18,13
ES,Home,7108.74,13
GB,Home,6921.36,13
DE,Home,6734.08,12
NL,Home,6546.73,12
IT,Home,6359.41,12
FR,Home,6172.05,12
BE,Home,5984.68,11
CH,Home,5797.24,11
```
