```csv
product_id,name,category,price_eur,in_stock
1,Object-based explicit attitude,Clothing,134.94,true
2,Configurable upward-trending complexity,Clothing,498.06,true
3,Triple-buffered global hierarchy,Books,346.33,true
4,Re-contextualized interactive strategy,Electronics,394.82,true
5,Multi-tiered bottom-line implementation,Sports,433.18,false
6,Business-focused intermediate portal,Home,324.49,true
7,Exclusive bifurcated emulation,Toys,314.29,true
8,Team-oriented mission-critical info-mediaries,Clothing,53.69,true
9,Enhanced systemic challenge,Sports,62.39,true
10,Face-to-face regional attitude,Toys,323.37,true
11,Team-oriented grid-enabled Graphic Interface,Sports,219.44,true
12,Profit-focused leadingedge workforce,Home,419.41,false
13,Visionary composite implementation,Home,472.95,false
14,Self-enabling mission-critical open system,Books,35.02,true
15,Enterprise-wide 5thgeneration middleware,Home,321.07,true
16,Exclusive systemic encryption,Clothing,242.0,true
17,Virtual clear-thinking capability,Sports,415.8,false
18,Grass-roots next generation access,Books,282.8,true
19,Adaptive holistic forecast,Clothing,471.99,true
20,Extended actuating function,Electronics,282.96,true
21,Switchable systematic circuit,Electronics,386.29,true
22,De-engineered asymmetric structure,Electronics,145.63,true
23,Diverse optimizing instruction set,Home,354.09,true
24,Future-proofed well-modulated workforce,Home,293.44,false
25,De-engineered asynchronous core,Sports,485.4,true
26,Virtual cohesive portal,Books,257.15,true
27,Operative didactic toolset,Electronics,208.22,false
28,Object-based needs-based matrix,Toys,24.64,true
29,Enhanced real-time architecture,Clothing,307.34,true
30,Proactive dynamic database,Electronics,38.84,true
31,Compatible systemic collaboration,Sports,156.82,true
32,Fully-configurable content-based pricing structure,Sports,237.94,true
33,Seamless tangible circuit,Clothing,428.83,false
34,Reactive empowering architecture,Toys,180.82,true
35,Visionary web-enabled orchestration,Clothing,303.49,true
36,Multi-layered attitude-oriented help-desk,Toys,387.28,true
37,Progressive even-keeled conglomeration,Clothing,416.57,true
38,Switchable non-volatile leverage,Clothing,295.97,true
39,Optional zero tolerance open architecture,Clothing,437.34,true
40,Re-engineered tertiary open architecture,Books,486.29,true
41,Face-to-face clear-thinking neural-net,Electronics,133.52,true
42,Reverse-engineered bottom-line utilization,Books,408.18,true
43,Optional user-facing interface,Sports,41.64,true
44,Multi-layered directional intranet,Toys,109.46,false
45,Synergistic next generation infrastructure,Books,203.36,false
46,Managed static open system,Clothing,387.09,true
47,Enterprise-wide actuating throughput,Clothing,258.2,true
48,Business-focused holistic process improvement,Home,171.57,false
49,Persistent cohesive protocol,Books,64.31,true
50,Up-sized maximized orchestration,Sports,231.9,true
51,Multi-layered heuristic collaboration,Books,231.79,true
52,Persevering dedicated moratorium,Books,12.68,true
53,Polarized national forecast,Sports,305.19,true
54,Right-sized demand-driven capacity,Clothing,460.66,true
55,Robust directional forecast,Electronics,19.4,false
56,Customer-focused static array,Home,25.98,false
57,Streamlined discrete interface,Home,332.58,false
58,Profound didactic secured line,Toys,435.54,false
59,Innovative modular structure,Books,320.04,false
60,Centralized homogeneous database,Sports,344.59,true
61,Sharable tangible application,Electronics,222.91,true
62,Integrated value-added framework,Sports,117.57,true
63,Secured demand-driven interface,Sports,474.98,false
64,Advanced well-modulated knowledgebase,Books,36.04,true
65,Inverse intangible encryption,Clothing,457.31,false
66,Stand-alone bi-directional concept,Sports,134.18,true
67,Profit-focused actuating support,Sports,143.46,true
68,Multi-tiered cohesive adapter,Sports,195.8,true
69,Profound modular matrix,Sports,268.97,true
70,Multi-layered neutral interface,Books,381.08,true
71,Assimilated secondary policy,Books,451.35,true
72,Synchronized intermediate info-mediaries,Electronics,261.0,true
73,Front-line multi-state access,Books,113.34,true
74,Realigned responsive analyzer,Home,365.44,true
75,Streamlined dedicated project,Sports,440.14,false
76,Intuitive 5thgeneration challenge,Toys,22.04,true
77,Organic tangible conglomeration,Sports,197.86,true
78,Organized client-server circuit,Electronics,112.71,true
79,Function-based motivating implementation,Home,478.88,true
80,Team-oriented background migration,Electronics,466.63,true
81,Decentralized asynchronous standardization,Sports,262.83,true
82,Networked mission-critical hierarchy,Books,118.8,true
83,Expanded 5thgeneration moderator,Books,31.04,true
84,Open-source directional matrices,Clothing,12.35,true
85,Exclusive composite encoding,Electronics,355.52,true
86,Exclusive multi-tasking secured line,Books,471.18,true
87,Mandatory secondary standardization,Home,407.11,true
88,Innovative mission-critical website,Toys,205.37,true
89,Visionary reciprocal orchestration,Books,172.26,true
90,Profit-focused disintermediate task-force,Sports,331.93,true
91,Extended executive capability,Sports,127.8,true
92,Visionary non-volatile access,Clothing,471.18,true
93,Virtual 5thgeneration process improvement,Sports,118.27,true
94,Intuitive background utilization,Electronics,94.53,true
95,Progressive solution-oriented conglomeration,Toys,403.57,false
96,Persevering needs-based artificial intelligence,Home,438.28,true
97,Open-source uniform challenge,Home,450.7,true
98,Quality-focused 6thgeneration utilization,Books,230.06,true
99,Universal client-driven functionalities,Clothing,340.0,true
100,Synchronized value-added help-desk,Sports,264.37,true
```
