```csv
country_code,category,total_revenue_eur,order_count
BE,Sports,11049.25,9
DE,Clothing,9904.38,10
AT,Clothing,9835.34,10
PL,Sports,9527.27,10
ES,Sports,8884.66,9
ES,Clothing,8734.02,8
GB,Sports,8297.02,11
FR,Clothing,8126.79,8
PL,Electronics,8101.44,12
IT,Electronics,7848.33,10
IT,Sports,7666.39,11
BE,Clothing,7664.21,9
AT,Sports,7638.16,9
CH,Clothing,7581.18,9
PL,Clothing,7318.06,10
BE,Home,6503.78,8
DE,Sports,6151.48,9
DE,Home,6038.38,8
DE,Electronics,5714.23,8
CH,Sports,5640.45,8
AT,Home,5501.99,7
FR,Sports,5495.83,6
NL,Home,5366.17,7
FR,Books,5303.49,8
IT,Clothing,5262.19,8
ES,Home,5164.67,6
FR,Home,5127.34,6
ES,Toys,5104.32,8
NL,Sports,4767.1,7
BE,Electronics,4712.18,6
AT,Electronics,4293.75,5
IT,Books,4171.18,5
BE,Toys,4046.22,7
PL,Home,3987.05,6
CH,Home,3873.37,6
NL,Clothing,3862.01,5
CH,Electronics,3747.07,5
GB,Clothing,3523.51,6
IT,Home,3424.47,5
GB,Home,3026.04,4
AT,Books,2941.04,3
ES,Electronics,2626.55,5
PL,Books,2241.97,5
DE,Books,2097.35,5
NL,Electronics,1863.63,4
FR,Electronics,1750.8,3
GB,Toys,1659.32,2
BE,Books,1399.8,2
NL,Toys,1362.4,3
GB,Books,1223.1,3
CH,Books,1221.33,1
GB,Electronics,1176.66,4
CH,Toys,1133.77,2
NL,Books,1044.0,1
IT,Toys,783.2,1
ES,Books,35.02,1
```
