```csv
country_code,category,total_revenue_eur,order_count
AT,Clothing,17508.83,52
DE,Clothing,16812.55,52
ES,Clothing,16024.96,52
FR,Clothing,15518.23,43
GB,Clothing,15354.21,48
BE,Clothing,14674.32,45
NL,Clothing,14343.83,41
IT,Clothing,13364.63,42
PL,Clothing,12889.37,39
CH,Clothing,11666.01,36
DE,Home,11425.46,40
AT,Home,11025.04,40
BE,Electronics,10931.39,40
FR,Sports,10870.36,39
BE,Sports,10714.51,41
NL,Electronics,10481.56,38
IT,Electronics,10444.6,33
FR,Electronics,10319.46,38
ES,Sports,10312.33,38
DE,Sports,10222.84,40
AT,Electronics,10214.28,34
ES,Electronics,10157.19,34
DE,Electronics,9977.29,38
GB,Sports,9955.74,40
CH,Books,9896.79,35
PL,Sports,9840.42,39
PL,Electronics,9720.65,37
DE,Books,9644.25,38
NL,Sports,9521.84,38
GB,Electronics,9306.91,32
ES,Home,9204.37,33
BE,Home,9119.5,37
IT,Sports,9090.72,32
IT,Home,8833.04,36
FR,Home,8814.73,34
CH,Electronics,8775.46,31
CH,Sports,8610.16,36
GB,Home,8469.75,34
AT,Books,8379.7,29
ES,Books,8310.82,31
NL,Books,8222.88,29
AT,Sports,8190.93,31
FR,Books,7803.95,30
PL,Home,7584.28,31
BE,Books,7258.74,27
IT,Books,7093.53,28
CH,Home,6953.53,26
BE,Toys,6916.63,30
GB,Books,6891.82,24
PL,Books,6649.52,27
NL,Home,6446.75,28
FR,Toys,6248.97,29
ES,Toys,6108.83,28
NL,Toys,6043.91,24
AT,Toys,5415.71,24
PL,Toys,5291.6,26
IT,Toys,4945.8,24
CH,Toys,4633.91,21
DE,Toys,4598.67,23
GB,Toys,4449.69,21
```
