```csv
country_code,category,total_revenue_eur,order_count
GB,Clothing,17173.56,22
GB,Home,15351.61,19
BE,Clothing,14510.15,18
DE,Sports,13745.02,17
DE,Clothing,13084.14,19
PL,Clothing,12853.84,17
IT,Toys,12739.02,17
GB,Sports,12684.22,17
DE,Toys,12389.04,17
IT,Home,12371.74,18
BE,Toys,12301.76,14
IT,Clothing,12173.74,17
NL,Clothing,12140.75,17
FR,Clothing,12023.75,16
ES,Clothing,11663.81,16
FR,Sports,11352.74,16
CH,Toys,11019.23,13
AT,Sports,10996.15,15
PL,Home,10712.59,18
PL,Toys,10651.98,16
NL,Home,10606.33,18
BE,Sports,10156.45,14
GB,Toys,9977.01,17
DE,Home,9958.85,16
ES,Sports,9643.15,16
IT,Electronics,9468.97,14
BE,Electronics,9304.53,13
BE,Home,9065.17,16
AT,Home,8833.62,13
AT,Clothing,8768.96,12
FR,Electronics,8729.83,14
IT,Sports,8678.96,15
CH,Electronics,8202.83,12
ES,Home,8188.13,15
CH,Home,7842.11,13
NL,Sports,7778.02,12
ES,Toys,7586.35,14
ES,Electronics,7301.21,11
GB,Electronics,7261.27,11
FR,Toys,6998.44,11
AT,Toys,6690.69,13
DE,Books,6682.35,11
DE,Electronics,6664.12,12
PL,Electronics,6369.83,14
FR,Home,6315.65,11
NL,Toys,6035.77,10
CH,Clothing,5832.09,10
AT,Electronics,5363.95,12
CH,Books,5322.03,11
BE,Books,5291.68,10
CH,Sports,5127.67,11
FR,Books,4728.16,10
IT,Books,4293.99,10
PL,Sports,4154.91,12
NL,Books,3670.36,8
GB,Books,3535.13,10
NL,Electronics,3444.82,8
AT,Books,3090.75,8
```
