```csv
country_code,category,total_revenue_eur,order_count
IT,Electronics,20684.08,18
GB,Books,19743.42,18
FR,Electronics,19231.74,17
AT,Electronics,19068.61,17
DE,Books,18953.27,18
ES,Electronics,18746.55,17
NL,Books,18582.91,17
BE,Electronics,18394.76,17
PL,Books,18127.63,17
CH,Electronics,17894.42,16
GB,Electronics,17682.35,16
IT,Books,17495.68,16
FR,Books,17261.85,16
AT,Books,17083.49,16
DE,Electronics,16894.73,16
ES,Books,16672.48,15
NL,Electronics,16493.91,15
BE,Books,16285.77,15
PL,Electronics,16092.44,15
CH,Books,15874.63,15
IT,Clothing,15682.31,16
GB,Clothing,15496.85,15
FR,Clothing,15284.67,15
AT,Clothing,15073.52,15
DE,Clothing,14862.19,15
ES,Clothing,14651.84,14
NL,Clothing,14436.29,14
BE,Clothing,14227.76,14
PL,Clothing,14018.53,14
CH,Clothing,13806.44,14
IT,Toys,13697.82,15
GB,Toys,13486.25,14
FR,Toys,13274.68,14
AT,Toys,13063.11,14
DE,Toys,12851.54,14
ES,Toys,12639.97,13
NL,Toys,12428.40,13
BE,Toys,12216.83,13
PL,Toys,12005.26,13
CH,Toys,11793.69,13
IT,Home,11582.12,14
GB,Home,11370.55,13
FR,Home,11158.98,13
AT,Home,10947.41,13
DE,Home,10735.84,13
ES,Home,10524.27,12
NL,Home,10312.70,12
BE,Home,10101.13,12
PL,Home,9889.56,12
CH,Home,9677.99,12
IT,Sports,9456.42,13
GB,Sports,9244.85,12
FR,Sports,9033.28,12
AT,Sports,8821.71,12
DE,Sports,8610.14,12
ES,Sports,8398.57,11
NL,Sports,8187.00,11
BE,Sports,7975.43,11
PL,Sports,7763.86,11
CH,Sports,7552.29,11
```
