```csv
country_code,category,total_revenue_eur,order_count
BE,Electronics,36218.45,42
DE,Books,34876.92,41
PL,Clothing,33754.18,44
IT,Electronics,32981.63,39
NL,Books,32147.84,40
ES,Clothing,31894.27,42
FR,Electronics,31026.58,36
AT,Books,30782.14,38
CH,Clothing,30149.73,39
GB,Electronics,29684.92,35
BE,Books,29411.67,37
DE,Clothing,29087.44,40
PL,Electronics,28795.31,34
IT,Books,28361.55,35
NL,Clothing,27948.62,38
ES,Electronics,27583.76,33
FR,Books,27149.88,34
AT,Clothing,26784.35,36
CH,Electronics,26321.94,31
GB,Books,25897.42,32
BE,Clothing,25463.18,35
DE,Electronics,25029.76,30
PL,Books,24685.39,31
IT,Clothing,24251.67,34
NL,Electronics,23816.52,29
ES,Books,23482.91,30
FR,Clothing,23148.26,33
AT,Electronics,22814.63,28
CH,Books,22479.17,29
GB,Clothing,22145.54,31
BE,Toys,21698.33,32
DE,Toys,21364.78,31
PL,Toys,21031.26,30
IT,Toys,20697.84,29
NL,Toys,20364.41,30
ES,Toys,20030.95,28
FR,Toys,19697.53,27
AT,Toys,19364.12,28
CH,Toys,19030.68,26
GB,Toys,18697.25,27
BE,Home,18152.47,29
DE,Home,17818.94,28
PL,Home,17485.51,27
IT,Home,17152.06,26
NL,Home,16818.63,27
ES,Home,16485.18,25
FR,Home,16151.74,24
AT,Home,15818.29,25
CH,Home,15484.85,23
GB,Home,15151.41,24
BE,Sports,14684.63,31
DE,Sports,14351.18,30
PL,Sports,14017.74,29
IT,Sports,13684.29,28
NL,Sports,13350.86,29
ES,Sports,13017.42,27
FR,Sports,12683.97,26
AT,Sports,12350.53,27
CH,Sports,12017.08,25
GB,Sports,11683.64,26
```
