```csv
country_code,category,total_revenue_eur,order_count
IT,Electronics,19068.66,21
ES,Clothing,18388.16,19
BE,Electronics,17715.82,21
AT,Electronics,17572.27,20
CH,Books,17387.92,19
DE,Electronics,16959.65,19
PL,Books,16342.86,18
FR,Books,16213.25,18
GB,Home,15784.18,19
NL,Electronics,15646.23,18
IT,Home,15549.63,19
ES,Books,15482.80,18
AT,Books,15369.21,18
BE,Home,15284.47,18
CH,Electronics,15192.34,17
DE,Books,15087.89,18
PL,Electronics,14973.65,18
FR,Electronics,14861.72,17
GB,Books,14776.48,18
NL,Books,14683.94,17
IT,Clothing,14592.77,18
ES,Electronics,14487.36,17
AT,Home,14376.54,17
BE,Books,14265.91,17
CH,Home,14178.65,17
DE,Home,14086.44,17
PL,Home,13974.18,17
FR,Home,13862.09,16
GB,Electronics,13784.62,17
NL,Home,13671.93,16
IT,Sports,13588.46,17
ES,Home,13476.82,16
AT,Clothing,13365.17,16
BE,Clothing,13254.69,16
CH,Clothing,13142.85,16
DE,Clothing,13031.48,16
PL,Clothing,12918.67,16
FR,Clothing,12806.34,15
GB,Clothing,12694.51,16
NL,Clothing,12583.28,15
IT,Toys,12471.94,15
ES,Sports,12360.82,15
AT,Sports,12249.63,15
BE,Sports,12138.42,15
CH,Sports,12027.19,14
DE,Sports,11915.86,14
PL,Sports,11804.57,14
FR,Sports,11693.24,14
GB,Sports,11581.91,14
NL,Sports,11470.68,14
IT,Books,11359.42,14
ES,Toys,11248.16,14
AT,Toys,11136.83,13
BE,Toys,11025.54,13
CH,Toys,10914.21,13
DE,Toys,10802.88,13
PL,Toys,10691.56,13
FR,Toys,10580.23,13
GB,Toys,10468.91,13
NL,Toys,10357.58,12
```
